City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Kapaa,US,2021-06-01 18:56:48,22.0752,-159.319,82.11,75,35,1.99
92,Arraial Do Cabo,BR,2021-06-01 18:56:49,-22.9661,-42.0278,76.96,78,20,12.66
93,Metro,ID,2021-06-01 18:56:49,-5.1131,105.3067,75.15,92,48,4.63
94,Cockburn Town,TC,2021-06-01 18:56:49,21.4612,-71.1419,84.16,65,40,14.97
95,Prince Rupert,CA,2021-06-01 18:56:50,54.3161,-130.3201,62.69,85,90,8.05
96,Alberobello,IT,2021-06-01 18:56:50,40.7859,17.2372,64.06,61,0,8.59
97,East London,ZA,2021-06-01 18:56:50,-33.0153,27.9116,59.94,72,0,3.44
98,Manavgat,TR,2021-06-01 18:56:51,36.7867,31.4431,71.83,76,75,10.38
99,Klaksvik,FO,2021-06-01 18:56:51,62.2266,-6.589,49.12,78,100,12.39
100,Gushikawa,JP,2021-06-01 18:56:51,26.3544,127.8686,76.23,90,100,12.41
101,Barrow,US,2021-06-01 18:56:52,71.2906,-156.7887,30.99,81,100,13.42
102,Hommelvik,NO,2021-06-01 18:56:52,63.4108,10.7942,71.56,49,0,17.27
103,Conakry,GN,2021-06-01 18:52:29,9.538,-13.6773,86.07,74,20,11.5
104,Ampanihy,MG,2021-06-01 18:56:52,-24.7,44.75,66.07,84,100,14.23
105,Uyuni,BO,2021-06-01 18:56:53,-20.4597,-66.825,49.3,10,100,10.09
106,Viedma,AR,2021-06-01 18:56:53,-40.8135,-62.9967,57.88,46,4,22.55
107,Iqaluit,CA,2021-06-01 18:56:53,63.7506,-68.5145,33.53,93,90,8.99
108,Qaanaaq,GL,2021-06-01 18:56:54,77.484,-69.3632,31.51,78,91,2.46
109,Avarua,CK,2021-06-01 18:56:54,-21.2078,-159.775,75.25,78,75,3.44
110,Svetlaya,RU,2021-06-01 18:56:54,46.5389,138.3297,48.92,91,100,5.91
111,Sabang,ID,2021-06-01 18:56:55,5.8933,95.3214,83.55,73,100,11.54
112,Vanimo,PG,2021-06-01 18:56:55,-2.6741,141.3028,75.24,91,100,3.27
113,Srednekolymsk,RU,2021-06-01 18:56:55,67.45,153.6833,58.06,38,98,2.46
114,Horsham,GB,2021-06-01 18:56:56,51.064,-0.3272,72.84,42,0,10.78
115,Mayumba,GA,2021-06-01 18:56:56,-3.432,10.6554,77.25,82,96,2.46
116,Havre-Saint-Pierre,CA,2021-06-01 18:56:56,50.2334,-63.5986,46.76,87,90,19.57
117,Solvychegodsk,RU,2021-06-01 18:56:56,61.3305,46.9156,41.86,85,7,2.91
118,Tuktoyaktuk,CA,2021-06-01 18:56:57,69.4541,-133.0374,33.8,69,90,9.22
119,Jilib,SO,2021-06-01 18:56:57,0.4883,42.7854,74.95,84,80,7.87
120,Sitka,US,2021-06-01 18:54:35,57.0531,-135.33,51.69,87,90,4.61
121,Moa,CU,2021-06-01 18:56:58,20.6569,-74.9403,83.12,69,100,12.26
122,Hermanus,ZA,2021-06-01 18:55:58,-34.4187,19.2345,55.9,82,2,3.2
123,Bredasdorp,ZA,2021-06-01 18:56:58,-34.5322,20.0403,52.92,87,0,2.51
124,Codrington,AU,2021-06-01 18:56:58,-38.2667,141.9667,51.64,72,100,7.05
125,Saint-Joseph,RE,2021-06-01 18:56:59,-21.3667,55.6167,75.58,82,26,12.01
126,Ribeira Grande,PT,2021-06-01 18:56:59,38.5167,-28.7,63.0,48,40,13.8
127,Lingao,CN,2021-06-01 18:57:00,19.9103,109.6859,83.89,76,100,9.08
128,Sao Raimundo Das Mangabeiras,BR,2021-06-01 18:57:00,-7.0219,-45.4811,93.78,31,9,2.48
129,Clyde River,CA,2021-06-01 18:57:00,70.4692,-68.5914,26.83,93,90,11.5
130,Jaciara,BR,2021-06-01 18:57:01,-15.9653,-54.9683,91.6,29,88,2.51
131,Yumen,CN,2021-06-01 18:57:01,40.2833,97.2,60.24,12,83,16.75
132,Russell,US,2021-06-01 18:57:01,32.3502,-85.1999,85.15,54,88,5.32
133,Clifton,US,2021-06-01 18:53:35,40.8584,-74.1638,79.95,43,100,4.0
134,Novo Oriente,BR,2021-06-01 18:57:02,-5.5344,-40.7742,91.44,34,37,2.75
135,Cam Ranh,VN,2021-06-01 18:57:02,11.9214,109.1591,82.36,74,20,4.07
136,Hithadhoo,MV,2021-06-01 18:57:02,-0.6,73.0833,83.97,66,100,14.7
137,Meiganga,CM,2021-06-01 18:57:03,6.5167,14.3,65.98,95,65,1.54
138,Voznesenye,RU,2021-06-01 18:57:03,61.0106,35.4781,50.63,71,100,0.72
139,Cidreira,BR,2021-06-01 18:57:03,-30.1811,-50.2056,65.57,58,42,7.09
